2026/09/25 10:29:13.393, 757 MiB, 38 %, 71, 2460 MHz, 44.30 W, 0x0000000000000000
2026/09/25 10:29:15.394, 757 MiB, 40 %, 71, 2460 MHz, 44.91 W, 0x0000000000000000
2026/09/25 10:29:17.396, 757 MiB, 34 %, 71, 2460 MHz, 43.38 W, 0x0000000000000000
2026/09/25 10:29:19.405, 757 MiB, 40 %, 70, 2460 MHz, 43.94 W, 0x0000000000000000
2026/09/25 10:29:21.407, 757 MiB, 46 %, 69, 2460 MHz, 43.98 W, 0x0000000000000000
2026/09/25 10:29:23.410, 757 MiB, 40 %, 70, 2460 MHz, 43.60 W, 0x0000000000000000
2026/09/25 10:29:25.421, 757 MiB, 40 %, 70, 2460 MHz, 43.90 W, 0x0000000000000000
2026/09/25 10:29:27.423, 757 MiB, 42 %, 69, 2460 MHz, 43.12 W, 0x0000000000000000
2026/09/25 10:29:29.429, 757 MiB, 34 %, 69, 2460 MHz, 44.12 W, 0x0000000000000000
2026/09/25 10:29:31.432, 757 MiB, 39 %, 68, 2460 MHz, 43.38 W, 0x0000000000000000
2026/09/25 10:29:33.434, 757 MiB, 46 %, 69, 2460 MHz, 43.64 W, 0x0000000000000000
2026/09/25 10:29:35.439, 757 MiB, 40 %, 69, 2460 MHz, 43.60 W, 0x0000000000000000
2026/09/25 10:29:37.442, 757 MiB, 37 %, 69, 2460 MHz, 42.80 W, 0x0000000000000000
2026/09/25 10:29:39.445, 757 MiB, 40 %, 68, 2460 MHz, 41.22 W, 0x0000000000000000
2026/09/25 10:29:41.449, 757 MiB, 40 %, 67, 2340 MHz, 38.37 W, 0x0000000000000001
2026/09/25 10:29:43.452, 757 MiB, 42 %, 67, 2385 MHz, 37.38 W, 0x0000000000000001
2026/09/25 10:29:45.456, 757 MiB, 42 %, 67, 2340 MHz, 37.71 W, 0x0000000000000001
2026/09/25 10:29:47.459, 757 MiB, 40 %, 68, 2430 MHz, 40.58 W, 0x0000000000000001
2026/09/25 10:29:49.462, 757 MiB, 36 %, 67, 2445 MHz, 39.51 W, 0x0000000000000001
2026/09/25 10:29:51.476, 757 MiB, 42 %, 65, 2280 MHz, 35.65 W, 0x0000000000000001
2026/09/25 10:29:53.490, 757 MiB, 41 %, 65, 2310 MHz, 34.74 W, 0x0000000000000001
2026/09/25 10:29:55.495, 757 MiB, 33 %, 65, 2175 MHz, 36.59 W, 0x0000000000000001
2026/09/25 10:29:57.496, 757 MiB, 36 %, 65, 2250 MHz, 32.51 W, 0x0000000000000001
2026/09/25 10:29:59.501, 757 MiB, 36 %, 64, 2085 MHz, 29.61 W, 0x0000000000000001
2026/09/25 10:30:01.504, 757 MiB, 42 %, 64, 2220 MHz, 30.77 W, 0x0000000000000001
2026/09/25 10:30:03.509, 757 MiB, 39 %, 64, 2265 MHz, 33.02 W, 0x0000000000000001
2026/09/25 10:30:05.520, 757 MiB, 38 %, 64, 2160 MHz, 30.12 W, 0x0000000000000001
2026/09/25 10:30:07.528, 757 MiB, 42 %, 63, 2175 MHz, 30.90 W, 0x0000000000000001
2026/09/25 10:30:09.537, 757 MiB, 39 %, 63, 2040 MHz, 29.48 W, 0x0000000000000001
2026/09/25 10:30:11.552, 757 MiB, 39 %, 62, 2160 MHz, 29.50 W, 0x0000000000000001
2026/09/25 10:30:13.556, 757 MiB, 31 %, 63, 2220 MHz, 30.95 W, 0x0000000000000001
2026/09/25 10:30:15.561, 757 MiB, 37 %, 63, 2250 MHz, 32.18 W, 0x0000000000000001
2026/09/25 10:30:17.562, 757 MiB, 40 %, 62, 2070 MHz, 29.20 W, 0x0000000000000001
2026/09/25 10:30:19.569, 757 MiB, 39 %, 62, 1995 MHz, 27.75 W, 0x0000000000000001
2026/09/25 10:30:21.577, 757 MiB, 39 %, 61, 1905 MHz, 24.69 W, 0x0000000000000001
2026/09/25 10:30:23.588, 757 MiB, 37 %, 60, 1890 MHz, 24.24 W, 0x0000000000000001
2026/09/25 10:30:25.592, 757 MiB, 34 %, 60, 1860 MHz, 23.27 W, 0x0000000000000001
2026/09/25 10:30:27.608, 757 MiB, 35 %, 59, 1620 MHz, 20.24 W, 0x0000000000000001
2026/09/25 10:30:29.611, 757 MiB, 38 %, 59, 1470 MHz, 18.62 W, 0x0000000000000001
2026/09/25 10:30:31.613, 757 MiB, 37 %, 58, 1500 MHz, 18.51 W, 0x0000000000000001
2026/09/25 10:30:33.619, 757 MiB, 35 %, 58, 1440 MHz, 17.69 W, 0x0000000000000001
2026/09/25 10:30:35.621, 757 MiB, 39 %, 57, 1350 MHz, 13.63 W, 0x0000000000000001
2026/09/25 10:30:37.637, 757 MiB, 43 %, 56, 870 MHz, 12.05 W, 0x0000000000000001
2026/09/25 10:30:39.642, 757 MiB, 34 %, 55, 660 MHz, 10.85 W, 0x0000000000000001
2026/09/25 10:30:41.645, 757 MiB, 45 %, 55, 345 MHz, 9.45 W, 0x0000000000000001
2026/09/25 10:30:43.648, 757 MiB, 44 %, 54, 315 MHz, 7.49 W, 0x0000000000000001
2026/09/25 10:30:45.653, 757 MiB, 46 %, 54, 315 MHz, 7.43 W, 0x0000000000000001
2026/09/25 10:30:47.656, 757 MiB, 43 %, 54, 375 MHz, 7.56 W, 0x0000000000000001
